OCCUPATIONAL CATEGORIES, DIVISIONS, AND GROUPS                                  
                                                                                
ONE-DIGIT OCCUPATIONAL CATEGORIES                                               
                                                                                
0/1  PROFESSIONAL, TECHNICAL, AND MANAGERIAL OCCUPATIONS                        
024  OCCUPATIONS IN GEOLOGY                                                     
025  OCCUPATIONS IN METEOROLOGY                                                 
029  OCCUPATIONS IN MATHEMATICS AND PHYSICAL SCIENCES, N.E.C.                   
030  OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING                            
031  OCCUPATIONS IN DATA COMMUNICATIONS AND NETWORKS                            
032  OCCUPATIONS IN COMPUTER SYSTEM USER SUPPORT                                
033  OCCUPATIONS IN COMPUTER SYSTEMS TECHNICAL SUPPORT                          
039  COMPUTER-RELATED OCCUPATIONS, N.E.C.                                       
040  OCCUPATIONS IN AGRICULTURAL SCIENCES                                       
041  OCCUPATIONS IN BIOLOGICAL SCIENCES                                         
045  OCCUPATIONS IN PSYCHOLOGY                                                  
049  OCCUPATIONS IN LIFE SCIENCES, N.E.C.                                       
050  OCCUPATIONS IN ECONOMICS                                                   
051  OCCUPATIONS IN POLITICAL SCIENCE                                           
052  OCCUPATIONS IN HISTORY                                                     
054  OCCUPATIONS IN SOCIOLOGY                                                   
055  OCCUPATIONS IN ANTHROPOLOGY                                                
059  OCCUPATIONS IN SOCIAL SCIENCES, N.E.C.                                     
070  PHYSICIANS AND SURGEONS                                                    
071  OSTEOPATHS                                                                 
072  DENTISTS                                                                   
073  VETERINARIANS                                                              
074  PHARMACISTS                                                                
075  REGISTERED NURSES                                                          
076  THERAPISTS                                                                 
077  DIETITIANS                                                                 
078  OCCUPATIONS IN MEDICAL AND DENTAL TECHNOLOGY                               
079  OCCUPATIONS IN MEDICINE AND HEALTH, N.E.C.                                 
090  OCCUPATIONS IN COLLEGE AND UNIVERSITY EDUCATION                            
091  OCCUPATIONS IN SECONDARY SCHOOL EDUCATION                                  
092  OCCUPATIONS IN PRESCHOOL, PRIMARY SCHOOL, AND KINDERGARTEN EDUCATION       
094  OCCUPATIONS IN EDUCATION OF PERSONS WITH DISABILITIES                      
096  HOME ECONOMISTS AND FARM ADVISERS                                          
097  OCCUPATIONS IN VOCATIONAL EDUCATION                                        
099  OCCUPATIONS IN EDUCATION, N.E.C.                                           
100  LIBRARIANS                                                                 
101  ARCHIVISTS                                                                 
102  MUSEUM CURATORS AND RELATED OCCUPATIONS                                    
109  OCCUPATIONS IN MUSEUM, LIBRARY, AND ARCHIVAL SCIENCES, N.E.C.              
110  LAWYERS                                                                    
111  JUDGES                                                                     
119  OCCUPATIONS IN LAW AND JURISPRUDENCE, N.E.C.                               
120  CLERGY                                                                     
129  OCCUPATIONS IN RELIGION AND THEOLOGY, N.E.C.                               
131  WRITERS                                                                    
132  EDITORS: PUBLICATION, BROADCAST, AND SCRIPT                                
137  INTERPRETERS AND TRANSLATORS                                               
139  OCCUPATIONS IN WRITING, N.E.C.                                             
141  COMMERCIAL ARTISTS: DESIGNERS AND ILLUSTRATORS, GRAPHIC ARTS               
142  ENVIRONMENTAL, PRODUCT, AND RELATED DESIGNERS                              
143  OCCUPATIONS IN PHOTOGRAPHY                                                 
144  FINE ARTISTS: PAINTERS, SCULPTORS, AND RELATED OCCUPATIONS                 
149  OCCUPATIONS IN ART, N.E.C.                                                 
150  OCCUPATIONS IN DRAMATICS                                                   
151  OCCUPATIONS IN DANCING                                                     
152  OCCUPATIONS IN MUSIC                                                       
153  OCCUPATIONS IN ATHLETICS AND SPORTS                                        
159  OCCUPATIONS IN ENTERTAINMENT AND RECREATION, N.E.C.                        
160  ACCOUNTANTS, AUDITORS, AND RELATED OCCUPATIONS                             
161  BUDGET AND MANAGEMENT SYSTEMS ANALYSIS OCCUPATIONS                         
162  PURCHASING MANAGEMENT OCCUPATIONS                                          
163  SALES AND DISTRIBUTION MANAGEMENT OCCUPATIONS                              
164  ADVERTISING MANAGEMENT OCCUPATIONS                                         
165  PUBLIC RELATIONS MANAGEMENT OCCUPATIONS                                    
166  PERSONNEL ADMINISTRATION OCCUPATIONS                                       
168  INSPECTORS AND INVESTIGATORS, MANAGERIAL AND PUBLIC SERVICE                
169  OCCUPATIONS IN ADMINISTRATIVE SPECIALIZATIONS, N.E.C.                      
180  AGRICULTURE, FORESTRY, AND FISHING INDUSTRY MANAGERS AND OFFICIALS         
181  MINING INDUSTRY MANAGERS AND OFFICIALS                                     
182  CONSTRUCTION INDUSTRY MANAGERS AND OFFICIALS                               
183  MANUFACTURING INDUSTRY MANAGERS AND OFFICIALS                              
184  TRANSPORTATION, COMMUNICATION, AND UTILITIES INDUSTRY MANAGERS AND         
     OFFICIALS                                                                  
185  WHOLESALE AND RETAIL TRADE MANAGERS AND OFFICIALS                          
186  FINANCE, INSURANCE, AND REAL ESTATE MANAGERS AND OFFICIALS                 
187  SERVICE INDUSTRY MANAGERS AND OFFICIALS                                    
188  PUBLIC ADMINISTRATION MANAGERS AND OFFICIALS                               
189  MISCELLANEOUS MANAGERS AND OFFICIALS, N.E.C.                               
191  AGENTS AND APPRAISERS, N.E.C.                                              
193  RADIO OPERATORS                                                            
194  SOUND, FILM, AND VIDEOTAPE RECORDING, AND REPRODUCTION OCCUPATIONS         
195  OCCUPATIONS IN SOCIAL AND WELFARE WORK                                     
196  AIRPLANE PILOTS AND NAVIGATORS                                             
197  SHIP CAPTAINS, MATES, PILOTS, AND ENGINEERS                                
198  RAILROAD CONDUCTORS                                                        
199  MISCELLANEOUS PROFESSIONAL, TECHNICAL, AND MANAGERIAL OCCUPATIONS,         
     N.E.C.                                                                     
201  SECRETARIES                                                                
202  STENOGRAPHERS                                                              
203  TYPISTS AND TYPEWRITING-MACHINE OPERATORS                                  
205  INTERVIEWING CLERKS                                                        
206  FILE CLERKS                                                                
207  DUPLICATING-MACHINE OPERATORS AND TENDERS                                  
208  MAILING AND MISCELLANEOUS OFFICE MACHINE OPERATORS                         
209  STENOGRAPHY, TYPING, FILING, AND RELATED OCCUPATIONS, N.E.C.               
210  BOOKKEEPERS AND RELATED OCCUPATIONS                                        
211  CASHIERS AND TELLERS                                                       
213  COMPUTER AND PERIPHERAL EQUIPMENT OPERATORS                                
214  BILLING AND RATE CLERKS                                                    
215  PAYROLL, TIMEKEEPING, AND DUTY-ROSTER CLERKS                               
216  ACCOUNTING AND STATISTICAL CLERKS                                          
217  ACCOUNT-RECORDING-MACHINE OPERATORS, N.E.C.                                
219  COMPUTING AND ACCOUNT-RECORDING OCCUPATIONS, N.E.C.                        
221  PRODUCTION CLERKS                                                          
222  SHIPPING, RECEIVING, STOCK, AND RELATED CLERICAL OCCUPATIONS               
229  PRODUCTION AND STOCK CLERKS AND RELATED OCCUPATIONS, N.E.C.                
230  HAND DELIVERY AND DISTRIBUTION OCCUPATIONS                                 
235  TELEPHONE OPERATORS                                                        
236  TELEGRAPH OPERATORS                                                        
237  INFORMATION AND RECEPTION CLERKS                                           
238  ACCOMMODATION CLERKS AND GATE AND TICKET AGENTS                            
239  INFORMATION AND MESSAGE DISTRIBUTION OCCUPATIONS, N.E.C.                   
241  INVESTIGATORS, ADJUSTERS, AND RELATED OCCUPATIONS                          
243  GOVERNMENT SERVICE CLERKS, N.E.C.                                          
245  MEDICAL SERVICE CLERKS, N.E.C.                                             
247  ADVERTISING-SERVICE CLERKS, N.E.C.                                         
248  TRANSPORTATION-SERVICE CLERKS, N.E.C                                       
249  MISCELLANEOUS CLERICAL OCCUPATIONS, N.E.C.                                 
250  SALES OCCUPATIONS, REAL ESTATE, INSURANCE, SECURITIES AND FINANCIAL        
     SERVICES                                                                   
251  SALES OCCUPATIONS, BUSINESS SERVICES, EXCEPT REAL ESTATE, INSURANCE,       
     SECURITIES, AND FINANCIAL SERVICES                                         
252  SALES OCCUPATIONS, TRANSPORTATION SERVICES                                 
253  SALES OCCUPATIONS, UTILITIES                                               
254  SALES OCCUPATIONS, PRINTING AND ADVERTISING                                
259  SALES OCCUPATIONS, SERVICES, N.E.C.                                        
260  SALES OCCUPATIONS, AGRICULTURAL AND FOOD PRODUCTS                          
261  SALES OCCUPATIONS, TEXTILE PRODUCTS, APPAREL, AND NOTIONS                  
262  SALES OCCUPATIONS, CHEMICALS, DRUGS, AND SUNDRIES                          
269  SALES OCCUPATIONS, MISCELLANEOUS CONSUMABLE COMMODITIES, N.E.C.            
270  SALES OCCUPATIONS, HOME FURNITURE, FURNISHINGS, AND APPLIANCES             
271  SALES OCCUPATIONS, ELECTRICAL GOODS, EXCEPT HOME APPLIANCES                
272  SALES OCCUPATIONS, FARM AND GARDENING EQUIPMENT AND SUPPLIES               
273  SALES OCCUPATIONS, TRANSPORTATION EQUIPMENT, PARTS, AND SUPPLIES           
274  SALES OCCUPATIONS, INDUSTRIAL AND RELATED EQUIPMENT AND SUPPLIES           
275  SALES OCCUPATIONS, BUSINESS AND COMMERCIAL EQUIPMENT AND SUPPLIES          
276  SALES OCCUPATIONS, MEDICAL AND SCIENTIFIC EQUIPMENT AND SUPPLIES           
277  SALES OCCUPATIONS, SPORTING, HOBBY, STATIONERY, AND RELATED GOODS          
279  SALES OCCUPATIONS, MISCELLANEOUS COMMODITIES, N.E.C.                       
290  SALES CLERKS                                                               
291  VENDING AND DOOR-TO-DOOR SELLING OCCUPATIONS                               
292  ROUTE SALES AND DELIVERY OCCUPATIONS                                       
293  SOLICITORS                                                                 
294  AUCTIONEERS                                                                
295  RENTAL CLERKS                                                              
296  SHOPPERS                                                                   
297  SALES PROMOTION OCCUPATIONS                                                
298  MERCHANDISE DISPLAYERS                                                     
299  MISCELLANEOUS SALES OCCUPATIONS, N.E.C.                                    
301  HOUSEHOLD AND RELATED WORK                                                 
302  LAUNDERERS, PRIVATE FAMILY                                                 
305  COOKS, DOMESTIC                                                            
309  DOMESTIC SERVICE OCCUPATIONS, N.E.C.                                       
310  HOSTS/HOSTESSES AND STEWARDS/STEWARDESSES, FOOD AND BEVERAGE SERVICE,      
     EXCEPT SHIP STEWARDS/STEWARDESSES                                          
311  WAITERS/WAITRESSES, AND RELATED FOOD SERVICE OCCUPATIONS                   
312  BARTENDERS                                                                 
313  CHEFS AND COOKS, HOTELS AND RESTAURANTS                                    
315  MISCELLANEOUS COOKS, EXCEPT DOMESTIC                                       
316  MEATCUTTERS, EXCEPT IN SLAUGHTERING AND PACKING HOUSES                     
317  MISCELLANEOUS FOOD AND BEVERAGE PREPARATION OCCUPATIONS                    
318  KITCHEN WORKERS, N.E.C.                                                    
319  FOOD AND BEVERAGE PREPARATION AND SERVICE OCCUPATIONS, N.E.C.              
320  BOARDING-HOUSE AND LODGING-HOUSE KEEPERS                                   
321  HOUSEKEEPERS, HOTELS AND INSTITUTIONS                                      
323  HOUSECLEANERS, HOTELS, RESTAURANTS, AND RELATED ESTABLISHMENTS             
324  BELLHOPS AND RELATED OCCUPATIONS                                           
329  LODGING AND RELATED SERVICE OCCUPATIONS, N.E.C.                            
330  BARBERS                                                                    
331  MANICURISTS                                                                
332  HAIRDRESSERS AND COSMETOLOGISTS                                            
333  MAKE-UP OCCUPATIONS                                                        
334  MASSEURS AND RELATED OCCUPATIONS                                           
335  BATH ATTENDANTS                                                            
338  EMBALMERS AND RELATED OCCUPATIONS                                          
339  BARBERING, COSMETOLOGY, AND RELATED SERVICE OCCUPATIONS, N.E.C.            
340  ATTENDANTS, BOWLING ALLEY AND BILLIARD PARLOR                              
341  ATTENDANTS, GOLF COURSE, TENNIS COURT, SKATING RINK, AND RELATED FACILITIES
342  AMUSEMENT DEVICE AND CONCESSION ATTENDANTS                                 
343  GAMBLING HALL ATTENDANTS                                                   
344  USHERS                                                                     
346  WARDROBE AND DRESSING-ROOM ATTENDANTS                                      
349  AMUSEMENT AND RECREATION SERVICE OCCUPATIONS, N.E.C.                       
350  SHIP STEWARDS/STEWARDESSES AND RELATED OCCUPATIONS                         
351  TRAIN ATTENDANTS                                                           
352  HOSTS/HOSTESSES AND STEWARDS/STEWARDESSES, N.E.C.                          
353  GUIDES                                                                     
354  UNLICENSED BIRTH ATTENDANTS AND PRACTICAL NURSES                           
355  ATTENDANTS, HOSPITALS, MORGUES, AND RELATED HEALTH SERVICES                
357  BAGGAGE HANDLERS                                                           
358  CHECKROOM, LOCKER ROOM, AND REST ROOM ATTENDANTS                           
359  MISCELLANEOUS PERSONAL SERVICE OCCUPATIONS, N.E.C.                         
361  LAUNDERING OCCUPATIONS                                                     
362  DRY CLEANING OCCUPATIONS                                                   
363  PRESSING OCCUPATIONS                                                       
364  DYEING AND RELATED OCCUPATIONS                                             
365  SHOE AND LUGGAGE REPAIRER AND RELATED OCCUPATIONS                          
366  BOOTBLACKS AND RELATED OCCUPATIONS                                         
369  APPAREL AND FURNISHINGS SERVICE OCCUPATIONS, N.E.C.                        
371  CROSSING TENDERS AND BRIDGE OPERATORS                                      
372  SECURITY GUARDS AND CORRECTION OFFICERS, EXCEPT CROSSING TENDERS           
373  FIRE FIGHTERS, FIRE DEPARTMENT                                             
375  POLICE OFFICERS AND DETECTIVES, PUBLIC SERVICE                             
376  POLICE OFFICERS AND DETECTIVES, EXCEPT IN PUBLIC SERVICE                   
377  SHERIFFS AND BAILIFFS                                                      
378  ARMED FORCES ENLISTED PERSONNEL                                            
379  PROTECTIVE SERVICE OCCUPATIONS, N.E.C.                                     
381  PORTERS AND CLEANERS                                                       
382  JANITORS                                                                   
383  BUILDING PEST CONTROL SERVICE OCCUPATIONS                                  
388  ELEVATOR OPERATORS                                                         
389  BUILDING AND RELATED SERVICE OCCUPATIONS, N.E.C.                           
401  GRAIN FARMING OCCUPATIONS                                                  
402  VEGETABLE FARMING OCCUPATIONS                                              
403  FRUIT AND NUT FARMING OCCUPATIONS                                          
404  FIELD CROP FARMING OCCUPATIONS, N.E.C.                                     
405  HORTICULTURAL SPECIALTY OCCUPATIONS                                        
406  GARDENING AND GROUNDSKEEPING OCCUPATIONS                                   
407  DIVERSIFIED CROP FARMING OCCUPATIONS                                       
408  PLANT LIFE AND RELATED SERVICE OCCUPATIONS                                 
409  PLANT FARMING AND RELATED OCCUPATIONS, N.E.C.                              
410  DOMESTIC ANIMAL FARMING OCCUPATIONS                                        
411  DOMESTIC FOWL FARMING OCCUPATIONS                                          
412  GAME FARMING OCCUPATIONS                                                   
413  LOWER ANIMAL FARMING OCCUPATIONS                                           
418  ANIMAL SERVICE OCCUPATIONS                                                 
419  ANIMAL FARMING OCCUPATIONS, N.E.C.                                         
421  GENERAL FARMING OCCUPATIONS                                                
429  MISCELLANEOUS AGRICULTURAL AND RELATED OCCUPATIONS, N.E.C.                 
441  NET, SEINE, AND TRAP FISHERS                                               
442  LINE FISHERS                                                               
443  FISHERS, MISCELLANEOUS EQUIPMENT                                           
446  AQUATIC LIFE CULTIVATION AND RELATED OCCUPATIONS                           
447  SPONGE AND SEAWEED GATHERERS                                               
449  FISHERY AND RELATED OCCUPATIONS, N.E.C.                                    
451  TREE FARMING AND RELATED OCCUPATIONS                                       
452  FOREST CONSERVATION OCCUPATIONS                                            
453  OCCUPATIONS IN HARVESTING FOREST PRODUCTS, EXCEPT LOGGING                  
454  LOGGING AND RELATED OCCUPATIONS                                            
455  LOG GRADING, SCALING, SORTING, RAFTING, AND RELATED OCCUPATIONS            
459  FORESTRY OCCUPATIONS, N.E.C.                                               
461  HUNTING AND TRAPPING OCCUPATIONS                                           
500  ELECTROPLATING OCCUPATIONS                                                 
501  DIP PLATING OCCUPATIONS                                                    
502  MELTING, POURING, CASTING, AND RELATED OCCUPATIONS                         
503  PICKLING, CLEANING, DEGREASING, AND RELATED OCCUPATIONS                    
504  HEAT-TREATING OCCUPATIONS                                                  
505  METAL SPRAYING, COATING, AND RELATED OCCUPATIONS                           
509  OCCUPATIONS IN PROCESSING OF METAL, N.E.C.                                 
510  MIXING AND RELATED OCCUPATIONS                                             
511  SEPARATING, FILTERING, AND RELATED OCCUPATIONS                             
512  MELTING OCCUPATIONS                                                        
513  ROASTING OCCUPATIONS                                                       
514  POURING AND CASTING OCCUPATIONS                                            
515  CRUSHING AND GRINDING OCCUPATIONS                                          
518  MOLDERS, COREMAKERS, AND RELATED OCCUPATIONS                               
519  ORE REFINING AND FOUNDRY OCCUPATIONS, N.E.C.                               
520  MIXING, COMPOUNDING, BLENDING, KNEADING, SHAPING, AND RELATED OCCUPATIONS  
521  SEPARATING, CRUSHING, MILLING, CHOPPING, GRINDING, AND RELATED OCCUPATIONS 
522  CULTURING, MELTING, FERMENTING, DISTILLING, SATURATING, PICKLING, AGING,   
     AND RELATED OCCUPATIONS                                                    
523  HEATING, RENDERING, MELTING, DRYING, COOLING, FREEZING, AND RELATED        
     OCCUPATIONS                                                                
524  COATING, ICING, DECORATING, AND RELATED OCCUPATIONS                        
525  SLAUGHTERING, BREAKING, CURING, AND RELATED OCCUPATIONS                    
526  COOKING AND BAKING OCCUPATIONS, N.E.C.                                     
529  OCCUPATIONS IN PROCESSING OF FOOD, TOBACCO, AND RELATED PRODUCTS, N.E.C.   
530  GRINDING, BEATING, AND MIXING OCCUPATIONS                                  
532  COOKING AND DRYING OCCUPATIONS                                             
533  COOLING, BLEACHING, SCREENING, WASHING, AND RELATED OCCUPATIONS            
534  CALENDERING, SIZING, COATING, AND RELATED OCCUPATIONS                      
535  FORMING OCCUPATIONS, N.E.C.                                                
539  OCCUPATIONS IN PROCESSING OF PAPER AND RELATED MATERIALS, N.E.C.           
540  MIXING AND BLENDING OCCUPATIONS                                            
541  FILTERING, STRAINING, AND SEPARATING OCCUPATIONS                           
542  DISTILLING, SUBLIMING, AND CARBONIZING OCCUPATIONS                         
543  DRYING, HEATING, AND MELTING OCCUPATIONS                                   
544  GRINDING AND CRUSHING OCCUPATIONS                                          
546  REACTING OCCUPATIONS, N.E.C.                                               
549  OCCUPATIONS IN PROCESSING OF PETROLEUM, COAL, NATURAL AND MANUFACTURED GAS,
     AND RELATED PRODUCTS, N.E.C.                                               
550  MIXING AND BLENDING OCCUPATIONS                                            
551  FILTERING, STRAINING, AND SEPARATING OCCUPATIONS                           
552  DISTILLING OCCUPATIONS                                                     
553  HEATING, BAKING, DRYING, SEASONING, MELTING, AND HEAT-TREATING OCCUPATIONS 
554  COATING, CALENDERING, LAMINATING, AND FINISHING OCCUPATIONS                
555  GRINDING AND CRUSHING OCCUPATIONS                                          
556  CASTING AND MOLDING OCCUPATIONS, N.E.C.                                    
557  EXTRUDING OCCUPATIONS                                                      
558  REACTING OCCUPATIONS, N.E.C.                                               
559  OCCUPATIONS IN PROCESSING OF CHEMICALS, PLASTICS, SYNTHETICS, RUBBER,      
     PAINT, AND RELATED PRODUCTS, N.E.C.                                        
560  MIXING AND RELATED OCCUPATIONS                                             
561  WOOD PRESERVING AND RELATED OCCUPATIONS                                    
562  SATURATING, COATING, AND RELATED OCCUPATIONS, N.E.C.                       
563  DRYING, SEASONING, AND RELATED OCCUPATIONS                                 
564  GRINDING AND CHOPPING OCCUPATIONS, N.E.C.                                  
569  OCCUPATIONS IN PROCESSING OF WOOD AND WOOD PRODUCTS, N.E.C.                
570  CRUSHING, GRINDING, AND MIXING OCCUPATIONS                                 
571  SEPARATING OCCUPATIONS                                                     
572  MELTING OCCUPATIONS                                                        
573  BAKING, DRYING, AND HEAT-TREATING OCCUPATIONS                              
574  IMPREGNATING, COATING, AND GLAZING OCCUPATIONS                             
575  FORMING OCCUPATIONS                                                        
579  OCCUPATIONS IN PROCESSING OF STONE, CLAY, GLASS, AND RELATED PRODUCTS,     
     N.E.C.                                                                     
580  SHAPING, BLOCKING, STRETCHING, AND TENTERING OCCUPATIONS                   
